id	filename	md5	size	state
baa65cc1-acb7-46c0-b68b-ce11600b476d	0644e07b-831c-436a-b3cb-83d79a48820b.mirbase21.mirnas.quantification.txt	1a94e462dd73d4bbb8a2866e09d568e6	50268	live
593d4a08-a05e-42c8-9440-4176fbf177fe	455502e4-9e9b-48b5-a6be-1a722de47909.mirbase21.mirnas.quantification.txt	66e27e0fbbeb4fd0de482c0e1b7194d8	50261	live
9a7a5f6e-5b59-48d4-8ad6-608ddd5e739e	8c8e40d1-f62f-4d9d-9435-ef0bc4fcd64e.mirbase21.mirnas.quantification.txt	86650cd63bbd18211f37d4275f974877	50137	live
1e78c8a5-aed7-4cf7-8c99-ba2220053948	7bb700da-edf4-4831-80ef-8d252f590257.mirbase21.mirnas.quantification.txt	4ce6c76f6af6ff9684d4698346ea8895	50301	live
517095c1-a30d-4582-9f41-fcb9ddd251e1	f7f8c1ac-96cb-49bf-a485-dc8404105191.mirbase21.mirnas.quantification.txt	ab7e824cf406d4af257c95535c456b50	50046	live
9b23f8cb-6b59-4040-b7c8-ba4fa08eba55	466776cb-6906-4da2-b788-a05a154decf3.mirbase21.mirnas.quantification.txt	aec98f0de51afae776f88218f9c6676d	50206	live
0b74f41b-1771-4f42-8181-ca6fc7686b5c	6bee6719-9ee9-4561-8c59-1667f2632d52.mirbase21.mirnas.quantification.txt	e3eca02afce43633544f433cbdb4dfd3	50358	live
963ea266-2577-425f-b47d-168d6c8d7c72	820f4603-0895-4741-865c-fdd98fbcb4fb.mirbase21.mirnas.quantification.txt	06f2c8199f2ff690f6191d14e89bc6ac	50133	live
9a1850a4-7050-4c64-8d3d-50d040cb7c89	bb405508-0f6a-4353-8c87-887be99855d5.mirbase21.mirnas.quantification.txt	fd40688c8c81efa0c88cdb2b68d051de	50402	live
74026969-eab8-44f1-8746-d89d5a450ba1	45da1c01-0316-4dbf-939b-4a758fd7e5e7.mirbase21.mirnas.quantification.txt	f20d3488568b2446f558fd50e0f9e7c4	50294	live
772f0a50-c019-4d85-a1c9-6534ff57f482	f7332a1d-ba16-44cd-b6c8-2639fdd568bf.mirbase21.mirnas.quantification.txt	a09f9536d861e0ae81ff46ec3597b2ed	50361	live
c968f62e-7bc6-4f2b-b39c-5698e87f2a68	d3389e1d-e4c8-4980-aa36-a10ed6ce3da6.mirbase21.mirnas.quantification.txt	127b6a14e92d2ebf0dbf3103c0594361	50299	live
b2c6f006-f9de-4917-83d3-03858b728fe3	982dd56f-fbe2-4ca5-8b6d-1028faec1872.mirbase21.mirnas.quantification.txt	3232df3ecd0b60bafc4dc9c003689eb6	50188	live
be701183-6b9f-44eb-b83a-6372b2b50054	26ed5a27-73f0-441f-bb31-f61d80ca1d51.mirbase21.mirnas.quantification.txt	2e5f3ee1cc2f8388e488ae146e3bb218	50318	live
0032767c-7bed-4c57-8066-860d956dcc67	e468d0ba-a361-49de-b6a5-c32f9e255bd4.mirbase21.mirnas.quantification.txt	98121c6d9e399942c8163c084ba4e121	50218	live
cb351a12-c97b-4432-aca7-2cc9186b7fc1	bbb9946b-cdb3-4baf-b6d8-4de40280dfe9.mirbase21.mirnas.quantification.txt	c7bbe69b084d339babbb97194a81ee31	50261	live
41bbff97-ff5c-4ea8-8de7-5fcae1b37637	de1a7fe5-a943-438d-adbe-c6f546dba34d.mirbase21.mirnas.quantification.txt	0fe2e9b7067b2ad1eeff9d5a5cc1251e	50611	live
3c31123c-895d-4c1a-89b5-bc3185beaf72	487a666a-91a5-4865-96fa-bca3391b5ed7.mirbase21.mirnas.quantification.txt	ebc414ad7d623d627101d8bf289b890d	50203	live
dfe23fa5-d6d8-41a0-8e5a-3d3d11083fcc	96bb382e-1568-4254-a5b3-3ac82b18941b.mirbase21.mirnas.quantification.txt	1d13b80a3053dc42726a3c9e0f0eb20d	50294	live
6564f6a0-1d07-4970-8eec-7164b674e052	dd7dac70-c361-4516-b162-c05fe2e30e75.mirbase21.mirnas.quantification.txt	704a0b2c52c2e3e85e9a11653673d30e	50133	live
8e9eab49-87c7-4f8b-aac5-bd518bbe4026	abd0c7a6-54da-4fa7-bbef-c09b851b051f.mirbase21.mirnas.quantification.txt	ae29157bb3998d95b81b911d29740c02	50328	live
47691663-def0-4721-999b-f8ebf99349fa	71828329-0504-41cf-acbb-15211d441b77.mirbase21.mirnas.quantification.txt	1b54c6bd869c7cd7557bc5d6e0c6a6f0	50251	live
8a7ddca9-54b3-4949-8f8c-5a107ccfd4cb	2f1713bc-4214-48c2-8ae5-f14c3862c469.mirbase21.mirnas.quantification.txt	e134db02f6fc93532e47634e735a4e62	50206	live
5e53c882-df7b-4fb7-9c56-1b9882f70276	a274e7d2-8690-4ada-812e-aa34b5193c1f.mirbase21.mirnas.quantification.txt	20c5e736f1dac764dd5c2622096f9021	50200	live
